0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,8,18,14,12,7,13,2,5,11,7,15,4,1,10
12,0,4,10,19,9,11,3,18,1,12,9,9,11,17
7,15,0,3,12,4,15,8,16,7,14,4,14,4,13
4,10,3,0,2,15,18,15,1,8,13,4,13,17,12
9,11,12,1,0,6,4,14,9,5,14,8,5,16,19
15,14,15,1,11,0,19,15,19,14,9,15,14,18,15
9,3,12,5,19,13,0,9,17,8,19,4,2,19,2
8,1,19,18,17,9,8,0,2,6,3,5,2,1,12
10,4,9,2,15,7,6,15,0,6,4,11,18,13,10
12,12,1,5,1,3,13,18,7,0,5,10,11,11,16
10,10,14,17,19,18,10,9,18,7,0,13,2,13,8
9,6,9,19,1,12,14,12,17,10,19,0,12,3,8
9,17,4,10,16,1,10,4,16,1,4,9,0,8,14
11,9,8,12,18,9,10,16,10,16,18,16,5,0,15
6,1,8,17,3,7,1,1,4,2,18,16,14,13,0
