0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
6,12,6,3,4,17,13,16,6,14,10,12,5,2,4
9,5,16,6,12,17,9,11,5,5,3,17,15,14,18
19,14,5,7,15,17,10,5,10,3,15,2,19,16,9
18,15,13,18,12,7,15,2,12,1,17,13,5,13,4
11,5,4,16,5,13,7,12,19,15,1,8,13,10,12
12,15,18,14,17,16,9,14,19,15,18,14,2,9,10
8,19,19,3,1,5,11,9,13,4,2,19,18,18,19
13,4,16,16,2,4,11,3,10,15,18,15,10,17,18
6,8,3,4,17,4,3,10,7,10,13,13,9,3,5
5,10,8,15,8,12,6,4,5,13,12,14,7,5,15
18,19,3,5,12,1,8,14,14,2,6,9,2,16,3
14,10,9,8,5,7,17,7,13,10,2,17,16,18,13
7,11,2,15,4,8,7,8,15,16,19,11,13,19,16
17,19,18,5,15,17,17,8,11,11,16,18,16,1,12
2,19,4,5,2,12,19,8,9,13,6,10,11,19,2
